strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S022,Covered short call,directional_short,Q,resistance_retest,45.0,10.0,0.2222222222222222,0.6,-1.8647173485483328,-83.91228068467491,0.8140474885704935,,-0.015260907004022,0.272460640619922,-0.0033913126675604
S023,Short OTM put high IV,directional_short,Q,iv_rank_high,18.0,2.0,0.1111111111111111,1.0,7.445810728616526,134.02459311509747,inf,,0.6104056866970554,0.6104056866970554,0.0678228540774506
S024,Short OTM call covered,directional_short,Q,iv_rank_high,18.0,11.0,0.6111111111111112,0.3636363636363636,-72.61557675832512,-1307.080381649852,0.1961876189888747,,-0.9879557713784992,-0.3485718637666974,-0.6037507491757497
S028,Short put IV crush post event,directional_short,Q,post_event_iv,23.0,23.0,1.0,0.3478260869565217,-67.95056633436646,-1562.8630256904285,0.1927627521382523,,-0.5905582489091785,-0.3159392184865449,-0.5905582489091785
S029,Short call failed BO,directional_short,Q,failed_breakout,9.0,9.0,1.0,1.0,68.90432225815272,620.1389003233744,inf,,0.668673115012944,0.8751410687168114,0.668673115012944
S030,Short put failed BD,directional_short,Q,failed_breakdown,6.0,6.0,1.0,1.0,60.49039931955073,362.9423959173044,inf,,0.5932568948043854,0.6187100050793942,0.5932568948043854
S031,Short premium IV>80,directional_short,Q,iv_rank_high,18.0,2.0,0.1111111111111111,1.0,7.445810728616526,134.02459311509747,inf,,0.6104056866970554,0.6104056866970554,0.0678228540774506
S032,Short premium term inverted,directional_short,Q,term_inverted,24.0,3.0,0.125,1.0,5.732298542436422,137.57516501847414,inf,,0.4164816725920602,0.4170999220511311,0.0520602090740075
S033,Short put uptrend,directional_short,Q,uptrend,107.0,25.0,0.2336448598130841,0.56,-0.4810948604136746,-51.477150064263256,0.9209274304523264,,0.0007680090023637,0.0491808264412955,0.0001794413556924
S034,Short call downtrend,directional_short,Q,downtrend,45.0,10.0,0.2222222222222222,0.6,-1.8647173485483328,-83.91228068467491,0.8140474885704935,,-0.015260907004022,0.272460640619922,-0.0033913126675604
S035,Short weekly put theta,directional_short,Q,uptrend,107.0,25.0,0.2336448598130841,0.56,-0.4810948604136746,-51.477150064263256,0.9209274304523264,,0.0007680090023637,0.0491808264412955,0.0001794413556924
S036,Short monthly call vs stock,directional_short,Q,neutral,56.0,8.0,0.1428571428571428,0.375,4.186566294474261,234.44771249055867,1.4617162098572116,,0.0242426965249928,-0.2129570716880822,0.0034632423607132
S037,Short put support,directional_short,Q,support_retest,107.0,25.0,0.2336448598130841,0.56,-0.4810948604136746,-51.477150064263256,0.9209274304523264,,0.0007680090023637,0.0491808264412955,0.0001794413556924
S038,Short call resistance,directional_short,Q,resistance_retest,45.0,10.0,0.2222222222222222,0.6,-1.8647173485483328,-83.91228068467491,0.8140474885704935,,-0.015260907004022,0.272460640619922,-0.0033913126675604
S130,Short vol IV rank>80,volatility_greeks,Q,iv_rank_high,18.0,2.0,0.1111111111111111,1.0,7.445810728616526,134.02459311509747,inf,,0.6104056866970554,0.6104056866970554,0.0678228540774506
S131,IV pct mean rev buy calls,volatility_greeks,Q,iv_rank_low,61.0,22.0,0.360655737704918,0.5909090909090909,12.125510845982523,739.6561616049341,1.8691211613528649,,0.1934547259736544,0.0921941501668005,0.0697705569085311
S136,Theta harvest short opts,volatility_greeks,Q,iv_rank_high,18.0,2.0,0.1111111111111111,1.0,7.445810728616526,134.02459311509747,inf,,0.6104056866970554,0.6104056866970554,0.0678228540774506
S137,Charm decay into expiry,volatility_greeks,Q,neutral,56.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S144,IV>RV short vol,volatility_greeks,Q,iv_vs_hv_high,18.0,2.0,0.1111111111111111,1.0,7.445810728616526,134.02459311509747,inf,,0.6104056866970554,0.6104056866970554,0.0678228540774506
S145,VIX call hedge,volatility_greeks,Q,crash_hedge,11.0,11.0,1.0,0.3636363636363636,-29.558520010774146,-325.1437201185156,0.4123791706342808,,-0.1714417891546754,-0.4451051896681375,-0.1714417891546754
S147,Beta delta hedge SPY,volatility_greeks,Q,neutral,56.0,7.0,0.125,0.7142857142857143,8.06512451734156,451.64697297112735,7.677934883022736,,0.328534978517827,0.2677600246091673,0.0410668723147283
S148,Vol surface smile trade,volatility_greeks,Q,skew_steep,51.0,23.0,0.4509803921568627,0.2608695652173913,-6.969232920283405,-355.4308789344536,0.7029074022901249,,-0.0924442241746581,-0.4451051896681375,-0.0416905324709242
S158,CPI jobs ORB options,event_seasonality,Q,macro_orb,65.0,26.0,0.4,0.3076923076923077,6.570943087064333,427.11130065918144,1.3103104480232357,,0.328282279721018,-1.0143650793650794,0.1313129118884071
S163,A1 GapDown ATM call EOD,equity_signal,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-28.75985334944039,-661.4766270371288,0.6196641568723132,,-0.1151083047803114,-0.3618023226805774,-0.1151083047803114
S165,GapDown long call 3 DTE,equity_signal,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-17.466427629457648,-401.727835477526,0.7404173514978076,,-0.0916778965884028,-0.5879351610003613,-0.0916778965884028
