strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S193,10AM reversal call,intraday,MTDR,ten_am_reversal,347.0,207.0,0.7016949152542373,0.855072463768116,33.49838311590069,9882.023019190705,51.56919957517669,
S194,Lunch lull vol sell,intraday,MTDR,lunch_lull,794.0,41.0,0.1111111111111111,0.5853658536585366,0.4156149230984031,153.3619066233108,1.4053461971655423,
S195,Last hour theta short weekly,intraday,MTDR,power_hour,1535.0,0.0,0.0,0.0,0.0,0.0,inf,
S196,Tick imbalance proxy,intraday,MTDR,tape_imbalance,274.0,48.0,0.2352941176470588,0.3958333333333333,-0.0046878402729638,-0.9563194156848048,0.9992096481730948,
S197,Bid-ask imbalance open,intraday,MTDR,open_imbalance,965.0,301.0,0.3734491315136476,0.4485049833887043,3.094326556120434,2494.0272042330694,1.473542189190406,
S198,Large opening print follow,intraday,MTDR,open_print,74.0,25.0,0.4385964912280701,0.4,3.159495785953327,180.09125979933953,1.2695737845788704,
S199,UOA call sweep follow,flow_sentiment,MTDR,uoa_call,64.0,16.0,0.4102564102564102,0.4375,-6.626356789094403,-258.4279147746817,0.4127194120497882,
S200,UOA put sweep follow,flow_sentiment,MTDR,uoa_put,34.0,0.0,0.0,0.0,0.0,0.0,inf,
S201,PCR contrarian bullish,flow_sentiment,MTDR,pcr_high,699.0,401.0,0.6716917922948074,0.4413965087281795,4.670494137407686,2788.285000032389,1.382525194396515,
S202,PCR contrarian bearish,flow_sentiment,MTDR,pcr_low,836.0,477.0,0.6883116883116883,0.4339622641509434,7.204079023963148,4992.4267636064615,1.6110125827282469,
S204,GEX positive fade,flow_sentiment,MTDR,gex_positive,2088.0,65.0,0.0381455399061032,0.4923076923076923,0.2864339035471853,488.0833716444036,1.4102510308477427,
S205,GEX negative trend follow,flow_sentiment,MTDR,gex_negative,628.0,210.0,0.4150197628458498,0.4571428571428571,3.7839556796323857,1914.6815738939872,1.496180844902835,
S206,Dealer delta hedge proxy,flow_sentiment,MTDR,dealer_flow,193.0,34.0,0.2446043165467626,0.5,3.466791793231908,481.8840592592353,1.6935977794076529,
S207,OI change breakout,flow_sentiment,MTDR,oi_breakout,129.0,26.0,0.3058823529411765,0.4230769230769231,2.5586391824921595,217.4843305118336,1.3255464708726077,
S208,Vol weighted PCR skew,flow_sentiment,MTDR,pcr_skew,965.0,348.0,0.4416243654822335,0.4454022988505747,5.56559281677881,4385.687139621704,1.793459558355714,
S209,Dark pool print call,flow_sentiment,MTDR,dark_pool,101.0,18.0,0.2857142857142857,0.4444444444444444,-3.9092476989718334,-246.28260503522543,0.4560434027219117,
S210,13F lag overlay,flow_sentiment,MTDR,fundamental_lag,3623.0,466.0,0.1551781551781551,0.4484978540772532,1.0910317588001304,3276.3683716767923,1.3864155640958535,
S211,Fixed 1pct risk per trade,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S212,Kelly half sizing,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S213,Tier0 1 contract 75 max,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S214,Tier1 2pct equity,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S215,Max 3 concurrent,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S216,Max 20pct premium at risk,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S217,Stop minus 50pct premium,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S218,Stop underlying minus 1pct,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S219,Profit take plus 50pct,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
